county,phone,name,district,address,url,email
"Columbus,Robeson",(919) 733-5651,Senator Michael P. Walters  (Dem),13,"NC Senate,300 N. Salisbury Street, Room 517
,Raleigh, NC 27603-5925",http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=269&sChamber=senate,Michael.Walters@ncleg.net
"Moore,Randolph",(919) 733-5870,Senator Jerry W. Tillman  (Rep),29,"NC Senate,300 N. Salisbury Street, Room 627
,Raleigh, NC 27603-5925",http://www.ncleg.net/gascripts/members/viewMember.pl?nUserID=99&sChamber=senate,Jerry.Tillman@ncleg.net
Aye,S769,13S741
Aye,S769,13S496
Aye,S769,13S815
Aye,S769,13S807
Aye,S769,13S808
Aye,S769,13S809
Aye,S769,13S605
Aye,S769,13S634
Aye,S769,13S667
Excused Absence,S769,13S719
Aye,S769,13S437
Aye,S769,13S570
Aye,S769,13S839
Aye,S769,13S840
Excused Absence,S769,13S869
Aye,S769,13S607
Aye,S769,13S636
Aye,S769,13S506
Aye,S769,13S556
Aye,S769,13S802
Aye,S769,13S606
N/V,S769,13S626
Aye,S769,13S452
Aye,S769,13S497
Aye,S769,13S498
Aye,S769,13S858
Aye,S769,13S859
Aye,S769,13S860
Aye,S769,13S861
Aye,S769,13S862
No,S769,13S863
Aye,S769,13S864
Aye,S769,13S865
No,S769,13S866
Aye,S769,13S879
Aye,S769,13S880
No,S769,13S881
No,S769,13S882
Aye,S769,13S418
Aye,S769,13S419
Aye,S769,13S523
Aye,S769,13S215
Aye,S769,13S453
N/V,S769,13S524
Aye,S769,13S525
Aye,S769,13S579
Aye,S547,13S436
Excused Absence,S547,13S603
Aye,S547,13S633
No,S547,13S852
Aye,S547,13S853
Aye,S547,13S854
Excused Absence,S547,13S898
Aye,S547,13S637
Aye,S547,13S734
Excused Absence,S547,13S604
Aye,S547,13S627
Excused Absence,S547,13S696
Excused Absence,S547,13S697
Excused Absence,S547,13S698
Aye,S547,13S341
Excused Absence,S547,13S368
Excused Absence,S547,13S369
Aye,S547,13S582
Aye,S547,13S495
Aye,S547,13S299
Aye,S547,13S417
Excused Absence,S547,13S699
Aye,S547,13S569
Excused Absence,S547,13S700
Aye,S547,13S739
Excused Absence,S547,13S720
Excused Absence,S547,13S721
Aye,S547,13S460
Aye,S547,13S462
Aye,S547,13S463
Aye,S547,13S740
Aye,S547,13S782
Aye,S547,13S450
Aye,S547,13S345
Aye,S547,13S206
Excused Absence,S547,13S207
Aye,S547,13S216
Aye,S547,13S217
No,S547,13S218
No,S547,13S638
No,S547,13S639
Excused Absence,S547,13S701
Excused Absence,S547,13S702
Aye,S547,13S772
Excused Absence,S547,13S794
No,S547,13S838
Aye,S547,13S508
Aye,S547,13S451
Aye,S547,13S741
Aye,S547,13S496
Excused Absence,S547,13S815
Aye,S552,13S809
Aye,S552,13S605
Aye,S552,13S634
Aye,S552,13S667
Aye,S552,13S719
Aye,S552,13S437
N/V,S552,13S570
Aye,S552,13S839
Aye,S552,13S840
Aye,S552,13S869
Aye,S552,13S607
Aye,S552,13S636
Aye,S552,13S506
Aye,S552,13S556
Aye,S552,13S802
Aye,S552,13S606
Aye,S552,13S626
Aye,S552,13S452
Aye,S552,13S497
Aye,S552,13S498
Aye,S552,13S858
Aye,S552,13S859
Aye,S552,13S860
Aye,S552,13S861
Aye,S552,13S862
No,S552,13S863
Aye,S552,13S864
Aye,S552,13S865
No,S552,13S866
Aye,S552,13S879
Aye,S552,13S880
No,S552,13S881
No,S552,13S882
Aye,S552,13S418
Aye,S552,13S419
No,S552,13S523
Aye,S552,13S215
Aye,S552,13S453
Aye,S552,13S524
Aye,S552,13S525
N/V,S552,13S579
Aye,S552,13S769
Aye,S552,13S742
Aye,S552,13S499
N/V,S552,13S571
N/V,S552,13S572
N/V,S552,13S573
Aye,S552,13S500
Aye,S552,13S703
Aye,S552,13S783
Aye,S552,13S526
Aye,S552,13S784
Aye,S552,13S527
Aye,S552,13S528
Aye,S552,13S755
Aye,S545,13S88
Aye,S545,13S771
Aye,S545,13S793
Aye,S545,13S657
Aye,S545,13S154
Aye,S545,13S777
Aye,S545,13S868
Aye,S545,13S461
Aye,S545,13S517
No,S545,13S578
Aye,S545,13S486
Aye,S545,13S736
Aye,S545,13S518
Aye,S545,13S593
Aye,S545,13S594
Aye,S545,13S487
No,S545,13S166
Aye,S545,13S167
Aye,S545,13S658
Aye,S545,13S791
Aye,S545,13S488
Aye,S545,13S659
No,S545,13S336
Aye,S545,13S337
Aye,S545,13S589
Aye,S545,13S225
Aye,S545,13S489
Aye,S545,13S612
Aye,S545,13S682
Aye,S545,13S683
Aye,S545,13S684
Aye,S545,13S685
Aye,S545,13S768
Aye,S545,13S339
Aye,S545,13S340
Aye,S545,13S490
Aye,S545,13S754
Aye,S545,13S660
Aye,S545,13S661
Aye,S545,13S601
Aye,S545,13S631
Aye,S545,13S801
Aye,S545,13S555
Aye,S545,13S429
Aye,S545,13S430
Aye,S545,13S491
Aye,S545,13S431
Aye,S545,13S519
Aye,S545,13S832
Aye,S545,13S833
Aye,S545,13S686
Aye,S545,13S687
Aye,S545,13S727
Aye,S541,13S322
Aye,S541,13S323
Aye,S541,13S379
Aye,S541,13S549
Aye,S541,13S157
Aye,S541,13S158
Aye,S541,13S873
Aye,S541,13S306
Excused Absence,S541,13S914
Aye,S541,13S373
Aye,S541,13S374
Aye,S541,13S241
Aye,S541,13S260
Aye,S541,13S261
Aye,S541,13S361
Aye,S541,13S362
Aye,S541,13S650
Aye,S541,13S651
Aye,S541,13S668
No,S541,13S835
Aye,S541,13S849
Aye,S541,13S874
Aye,S541,13S295
Excused Absence,S541,13S648
Excused Absence,S541,13S649
Aye,S541,13S243
Aye,S541,13S476
Excused Absence,S541,13S641
Excused Absence,S541,13S790
Aye,S541,13S244
Aye,S541,13S245
Aye,S541,13S246
No,S541,13S247
Aye,S541,13S248
Aye,S541,13S249
Aye,S541,13S250
No,S541,13S268
No,S541,13S269
Aye,S541,13S270
Aye,S541,13S477
Aye,S541,13S296
Excused Absence,S541,13S646
Aye,S541,13S251
Aye,S541,13S363
Aye,S541,13S581
Aye,S541,13S380
No,S541,13S828
Excused Absence,S541,13S221
Aye,S541,13S239
Aye,S541,13S386
Aye,S541,13S387
Excused Absence,S541,13S913
Excused Absence,S541,13S222
Excused Absence,S541,13S223
Aye,S541,13S185
Aye,S696,13S405
No,S696,13S406
No,S696,13S407
Aye,S696,13S408
Aye,S696,13S409
Aye,S696,13S410
Aye,S696,13S411
Aye,S696,13S412
Aye,S696,13S413
No,S696,13S580
Aye,S696,13S829
Aye,S696,13S836
Aye,S696,13S321
Aye,S696,13S358
Aye,S696,13S758
Aye,S696,13S611
Aye,S696,13S332
No,S696,13S545
Aye,S696,13S759
Aye,S696,13S151
Aye,S696,13S475
Aye,S696,13S293
Aye,S696,13S827
Aye,S696,13S171
Aye,S696,13S172
Aye,S696,13S182
Aye,S696,13S359
Aye,S696,13S338
Aye,S696,13S137
Aye,S696,13S213
Aye,S696,13S214
Aye,S696,13S546
Aye,S696,13S264
Aye,S696,13S547
Aye,S696,13S305
Aye,S696,13S329
Aye,S696,13S138
Aye,S696,13S139
Aye,S696,13S219
Aye,S696,13S548
Aye,S696,13S294
Aye,S696,13S202
Aye,S696,13S764
Aye,S696,13S183
Aye,S696,13S184
Aye,S696,13S220
Aye,S696,13S192
Aye,S696,13S360
Aye,S696,13S322
Aye,S696,13S323
Aye,S696,13S379
Aye,S696,13S549
Aye,S696,13S157
Aye,S696,13S158
Aye,S696,13S873
Aye,S696,13S306
Aye,S696,13S914
Aye,S697,13S441
Aye,S697,13S669
Aye,S697,13S722
Aye,S697,13S558
Aye,S697,13S563
Aye,S697,13S624
Aye,S697,13S457
Aye,S697,13S653
Aye,S697,13S458
Aye,S697,13S595
Aye,S697,13S613
Aye,S697,13S855
Aye,S697,13S533
Aye,S697,13S824
Aye,S697,13S825
Aye,S697,13S576
Aye,S697,13S795
Aye,S697,13S796
Aye,S697,13S534
Aye,S697,13S577
Aye,S697,13S535
Aye,S697,13S664
Aye,S697,13S442
Aye,S697,13S665
Excused Absence,S697,13S786
Excused Absence,S697,13S787
Aye,S697,13S536
No,S697,13S537
Aye,S697,13S538
Aye,S697,13S539
No,S697,13S561
Aye,S697,13S562
Aye,S697,13S834
Aye,S697,13S902
Aye,S697,13S414
Aye,S697,13S707
No,S697,13S559
Aye,S697,13S560
Aye,S697,13S670
Aye,S697,13S671
Aye,S697,13S723
Aye,S697,13S767
Aye,S697,13S770
Aye,S697,13S622
Aye,S697,13S421
Aye,S697,13S837
Aye,S697,13S867
Aye,S697,13S733
Aye,S697,13S752
Aye,S697,13S915
Aye,S697,13S918
Aye,S697,13S2
No,S607,13S902
Aye,S607,13S414
Aye,S607,13S707
Aye,S607,13S559
No,S607,13S560
Aye,S607,13S670
No,S607,13S671
No,S607,13S723
No,S607,13S767
No,S607,13S770
Aye,S607,13S622
Aye,S607,13S421
Aye,S607,13S837
Aye,S607,13S867
Aye,S607,13S733
Aye,S607,13S752
Aye,S607,13S915
Aye,S607,13S918
Aye,S607,13S2
Aye,S607,13S92
Aye,S607,13S116
Aye,S607,13S600
Aye,S607,13S629
No,S607,13S717
No,S549,13S746
Aye,S549,13S441
Aye,S549,13S669
Aye,S549,13S722
No,S549,13S558
No,S549,13S563
Aye,S549,13S624
Aye,S549,13S457
Aye,S549,13S653
Aye,S549,13S458
Aye,S549,13S595
Aye,S549,13S613
Aye,S549,13S855
Aye,S549,13S533
Aye,S549,13S824
Aye,S549,13S825
Aye,S549,13S576
Aye,S549,13S795
Aye,S549,13S796
Aye,S549,13S534
Aye,S549,13S577
Aye,S549,13S535
Aye,S549,13S664
Aye,S549,13S442
Aye,S549,13S665
Aye,S549,13S786
Aye,S549,13S787
No,S549,13S536
Aye,S549,13S537
Aye,S549,13S538
No,S549,13S539
Aye,S549,13S561
No,S549,13S562
No,S549,13S834
Aye,S769,13S769
Aye,S769,13S742
Aye,S769,13S499
Aye,S769,13S571
Aye,S769,13S572
Aye,S769,13S573
Aye,S769,13S500
Aye,S769,13S703
Aye,S769,13S783
Aye,S769,13S526
Aye,S769,13S784
Aye,S769,13S527
Aye,S769,13S528
Aye,S769,13S755
Aye,S769,13S501
Aye,S769,13S816
Aye,S769,13S904
Aye,S769,13S905
Aye,S769,13S585
Aye,S769,13S502
Aye,S769,13S756
Aye,S769,13S503
Aye,S769,13S504
Aye,S769,13S842
Aye,S769,13S843
Aye,S769,13S415
Aye,S769,13S422
Aye,S769,13S844
Aye,S769,13S652
Aye,S769,13S529
Aye,S769,13S596
Aye,S769,13S438
Aye,S769,13S464
Aye,S769,13S465
Aye,S769,13S803
Aye,S769,13S804
Excused Absence,S769,13S718
Excused Absence,S769,13S728
Excused Absence,S769,13S729
Excused Absence,S769,13S730
Excused Absence,S769,13S731
Excused Absence,S769,13S732
Aye,S769,13S597
Aye,S769,13S785
Aye,S769,13S282
Aye,S769,13S454
Aye,S769,13S466
Aye,S769,13S467
Aye,S769,13S439
Aye,S769,13S810
Aye,S769,13S811
No,S769,13S812
No,S769,13S821
No,S769,13S822
Aye,S769,13S586
Excused Absence,S547,13S807
Excused Absence,S547,13S808
Excused Absence,S547,13S809
Excused Absence,S547,13S605
Aye,S547,13S634
Excused Absence,S547,13S667
Excused Absence,S547,13S719
Aye,S547,13S437
Aye,S547,13S570
Aye,S547,13S839
Aye,S547,13S840
Aye,S547,13S869
Excused Absence,S547,13S607
Aye,S547,13S636
Aye,S547,13S506
Aye,S547,13S556
Excused Absence,S547,13S802
Excused Absence,S547,13S606
Aye,S547,13S626
Aye,S547,13S452
Aye,S547,13S497
Aye,S547,13S498
Excused Absence,S547,13S858
Excused Absence,S547,13S859
Excused Absence,S547,13S860
Excused Absence,S547,13S861
Excused Absence,S547,13S862
Excused Absence,S547,13S863
Excused Absence,S547,13S864
Excused Absence,S547,13S865
Excused Absence,S547,13S866
Excused Absence,S547,13S879
Excused Absence,S547,13S880
Excused Absence,S547,13S881
Excused Absence,S547,13S882
Aye,S547,13S418
Aye,S547,13S419
No,S547,13S523
Excused Absence,S547,13S215
Aye,S547,13S453
Aye,S547,13S524
No,S547,13S525
Aye,S547,13S579
Aye,S547,13S769
Aye,S547,13S742
Aye,S547,13S499
Aye,S547,13S571
Aye,S547,13S572
Aye,S547,13S573
Aye,S547,13S500
Excused Absence,S547,13S703
Aye,S547,13S783
Aye,S547,13S526
Aye,S552,13S501
Excused Absence,S552,13S816
No,S552,13S904
No,S552,13S905
Aye,S552,13S585
Aye,S552,13S502
Aye,S552,13S756
Aye,S552,13S503
Aye,S552,13S504
Aye,S552,13S842
No,S552,13S843
Aye,S552,13S415
N/V,S552,13S422
Aye,S552,13S844
No,S552,13S652
Aye,S552,13S529
Aye,S552,13S596
Aye,S552,13S438
Aye,S552,13S464
Aye,S552,13S465
Aye,S552,13S803
Aye,S552,13S804
No,S552,13S718
Aye,S552,13S728
No,S552,13S729
No,S552,13S730
No,S552,13S731
No,S552,13S732
Aye,S552,13S597
Aye,S552,13S785
Aye,S552,13S282
Aye,S552,13S454
Aye,S552,13S466
Aye,S552,13S467
Aye,S552,13S439
Excused Absence,S552,13S810
Excused Absence,S552,13S811
Excused Absence,S552,13S812
No,S552,13S821
No,S552,13S822
Aye,S552,13S586
Aye,S552,13S856
Aye,S552,13S857
Aye,S552,13S510
No,S552,13S511
No,S552,13S512
No,S552,13S557
Aye,S552,13S704
Aye,S552,13S530
Aye,S552,13S531
Aye,S552,13S532
Aye,S552,13S705
Aye,S552,13S455
Aye,S552,13S706
Aye,S552,13S587
Aye,S545,13S432
Aye,S545,13S602
Aye,S545,13S632
Aye,S545,13S446
Aye,S545,13S433
Aye,S545,13S737
Aye,S545,13S738
Aye,S545,13S851
Aye,S545,13S492
Aye,S545,13S688
Aye,S545,13S520
Aye,S545,13S493
Aye,S545,13S568
Aye,S545,13S623
Aye,S545,13S662
Aye,S545,13S640
Aye,S545,13S689
Aye,S545,13S521
Aye,S545,13S690
Aye,S545,13S691
Aye,S545,13S692
Aye,S545,13S778
Aye,S545,13S779
Aye,S545,13S447
Aye,S545,13S693
Aye,S545,13S434
Aye,S545,13S694
Aye,S545,13S435
Aye,S545,13S448
Excused Absence,S545,13S204
Aye,S545,13S494
Aye,S545,13S663
Aye,S545,13S749
Aye,S545,13S750
Aye,S545,13S877
Excused Absence,S541,13S226
Excused Absence,S541,13S227
Aye,S541,13S478
Aye,S541,13S348
Aye,S541,13S394
Aye,S541,13S152
Aye,S541,13S479
Aye,S541,13S297
Aye,S541,13S550
Excused Absence,S541,13S800
Aye,S541,13S193
Aye,S541,13S200
Aye,S541,13S201
Aye,S541,13S480
Aye,S541,13S307
Aye,S541,13S308
Aye,S541,13S551
Aye,S541,13S121
Aye,S541,13S203
Aye,S541,13S552
Aye,S541,13S252
Aye,S541,13S846
Aye,S541,13S870
Aye,S541,13S324
Aye,S541,13S344
Excused Absence,S541,13S765
Aye,S541,13S875
Excused Absence,S541,13S908
Aye,S541,13S253
Aye,S541,13S265
Aye,S541,13S892
Excused Absence,S541,13S224
Aye,S541,13S621
Aye,S541,13S513
Aye,S541,13S514
Aye,S541,13S515
Excused Absence,S541,13S766
Excused Absence,S541,13S903
Aye,S541,13S266
Aye,S541,13S381
Excused Absence,S541,13S813
Aye,S541,13S364
Aye,S541,13S365
No,S541,13S194
Aye,S541,13S195
Aye,S541,13S196
Aye,S541,13S159
Aye,S541,13S232
Aye,S541,13S233
Aye,S541,13S234
Aye,S541,13S254
Aye,S541,13S255
Aye,S541,13S256
Aye,S541,13S331
Excused Absence,S541,13S644
Aye,S541,13S382
Aye,S696,13S373
Aye,S696,13S374
Aye,S696,13S241
Aye,S696,13S260
Aye,S696,13S261
Aye,S696,13S361
Aye,S696,13S362
Aye,S696,13S650
Aye,S696,13S651
Aye,S696,13S668
No,S696,13S835
Aye,S696,13S849
Aye,S696,13S874
Aye,S696,13S295
Aye,S696,13S648
Aye,S696,13S649
Aye,S696,13S243
Aye,S696,13S476
Aye,S696,13S641
Aye,S696,13S790
Aye,S696,13S244
Aye,S696,13S245
No,S696,13S246
No,S696,13S247
Aye,S696,13S248
Aye,S696,13S249
Aye,S696,13S250
No,S696,13S268
No,S696,13S269
Aye,S696,13S270
Aye,S696,13S477
Aye,S696,13S296
Aye,S696,13S646
Aye,S696,13S251
Aye,S696,13S363
Aye,S696,13S581
Aye,S696,13S380
No,S696,13S828
Aye,S696,13S221
Aye,S696,13S239
Aye,S696,13S386
Aye,S696,13S387
Aye,S696,13S913
Aye,S696,13S222
Aye,S696,13S223
Aye,S696,13S185
Aye,S696,13S226
Aye,S696,13S227
Aye,S696,13S478
Aye,S696,13S348
Aye,S696,13S394
Aye,S696,13S152
Aye,S696,13S479
Aye,S697,13S92
Aye,S697,13S116
Aye,S697,13S600
Aye,S697,13S629
Aye,S697,13S717
No,S549,13S902
Aye,S549,13S414
Aye,S769,13S856
Aye,S769,13S857
Aye,S769,13S510
No,S769,13S511
Aye,S769,13S512
Aye,S769,13S557
Aye,S769,13S704
Aye,S769,13S530
Aye,S769,13S531
Aye,S769,13S532
Aye,S769,13S705
Aye,S769,13S455
Aye,S769,13S706
Aye,S769,13S587
Aye,S769,13S588
Aye,S769,13S574
Aye,S769,13S575
Aye,S769,13S889
Aye,S769,13S917
Aye,S769,13S440
Excused Vote,S769,13S456
Aye,S769,13S743
Aye,S769,13S744
No,S769,13S745
Aye,S769,13S746
Aye,S769,13S441
Aye,S769,13S669
Excused Absence,S769,13S722
Aye,S769,13S558
Aye,S769,13S563
Aye,S769,13S624
Aye,S769,13S457
Aye,S769,13S653
Aye,S769,13S458
Aye,S769,13S595
Aye,S769,13S613
Aye,S769,13S855
Aye,S769,13S533
Aye,S769,13S824
Aye,S769,13S825
Aye,S769,13S576
Aye,S769,13S795
Aye,S769,13S796
Aye,S769,13S534
Aye,S769,13S577
Aye,S769,13S535
Aye,S769,13S664
Aye,S769,13S442
Aye,S769,13S665
Aye,S769,13S786
Aye,S769,13S787
Aye,S769,13S536
Aye,S769,13S537
Aye,S769,13S538
Aye,S547,13S784
Aye,S547,13S527
Aye,S547,13S528
Aye,S547,13S755
Aye,S547,13S501
Excused Absence,S547,13S816
Excused Absence,S547,13S904
Excused Absence,S547,13S905
Aye,S547,13S585
Aye,S547,13S502
Aye,S547,13S756
Aye,S547,13S503
Aye,S547,13S504
Aye,S547,13S842
Aye,S547,13S843
Aye,S547,13S415
Aye,S547,13S422
Aye,S547,13S844
Excused Absence,S547,13S652
Aye,S547,13S529
Aye,S547,13S596
Aye,S547,13S438
Aye,S547,13S464
Aye,S547,13S465
Excused Absence,S547,13S803
Excused Absence,S547,13S804
Excused Absence,S547,13S718
Excused Absence,S547,13S728
Excused Absence,S547,13S729
Excused Absence,S547,13S730
Excused Absence,S547,13S731
Excused Absence,S547,13S732
Aye,S547,13S597
Aye,S547,13S785
Aye,S547,13S282
Aye,S547,13S454
Aye,S547,13S466
Aye,S547,13S467
Aye,S547,13S439
Excused Absence,S547,13S810
Excused Absence,S547,13S811
Excused Absence,S547,13S812
No,S547,13S821
No,S547,13S822
Aye,S547,13S586
Aye,S547,13S856
Aye,S547,13S857
Aye,S547,13S510
No,S547,13S511
Aye,S547,13S512
Aye,S547,13S557
Excused Absence,S547,13S704
Aye,S547,13S530
Aye,S547,13S531
Aye,S552,13S588
N/V,S552,13S574
N/V,S552,13S575
Aye,S552,13S889
Aye,S552,13S917
Aye,S552,13S440
Aye,S552,13S456
Aye,S552,13S743
Aye,S552,13S744
Aye,S552,13S745
Aye,S552,13S746
Aye,S552,13S441
Aye,S552,13S669
Aye,S552,13S722
No,S552,13S558
N/V,S552,13S563
Aye,S552,13S624
Aye,S552,13S457
Aye,S552,13S653
Aye,S552,13S458
Aye,S552,13S595
Aye,S552,13S613
Aye,S552,13S855
Aye,S552,13S533
Aye,S552,13S824
Aye,S552,13S825
N/V,S552,13S576
Aye,S552,13S795
Aye,S552,13S796
Aye,S552,13S534
N/V,S552,13S577
Aye,S552,13S535
Aye,S552,13S664
Aye,S552,13S442
Aye,S552,13S665
Aye,S552,13S786
Aye,S552,13S787
No,S552,13S536
Aye,S552,13S537
Aye,S552,13S538
No,S552,13S539
Aye,S552,13S561
No,S552,13S562
No,S552,13S834
No,S552,13S902
Aye,S552,13S414
Aye,S552,13S707
Aye,S552,13S559
No,S552,13S560
Aye,S552,13S670
No,S552,13S671
No,S552,13S723
No,S552,13S767
No,S552,13S770
Aye,S552,13S622
Aye,S552,13S421
Aye,S545,13S916
Aye,S545,13S522
Aye,S545,13S780
Aye,S545,13S781
Aye,S545,13S695
Aye,S545,13S449
Aye,S545,13S625
Aye,S545,13S635
Aye,S545,13S436
Aye,S545,13S603
Aye,S545,13S633
Aye,S545,13S852
Aye,S545,13S853
Aye,S545,13S854
Aye,S545,13S898
Aye,S545,13S637
Aye,S545,13S734
Aye,S545,13S604
Aye,S545,13S627
Aye,S545,13S696
Aye,S545,13S697
Aye,S545,13S698
Aye,S545,13S341
Aye,S545,13S368
Aye,S545,13S369
Aye,S545,13S582
Aye,S545,13S495
Aye,S545,13S299
Aye,S545,13S417
Aye,S545,13S699
Aye,S545,13S569
Aye,S545,13S700
Aye,S545,13S739
Aye,S545,13S720
Aye,S545,13S721
Aye,S545,13S460
Aye,S545,13S462
Aye,S545,13S463
Aye,S545,13S740
Aye,S545,13S782
Aye,S545,13S450
Aye,S545,13S345
Aye,S545,13S206
Excused Absence,S545,13S207
No,S545,13S216
Aye,S545,13S217
Aye,S545,13S218
Aye,S545,13S638
Aye,S545,13S639
Aye,S545,13S701
Aye,S545,13S702
Aye,S545,13S772
Aye,S541,13S383
Aye,S541,13S325
Excused Absence,S541,13S820
Aye,S541,13S333
Aye,S541,13S334
Aye,S541,13S553
Aye,S541,13S267
Aye,S541,13S173
Excused Absence,S541,13S645
Aye,S541,13S335
Aye,S541,13S309
Aye,S541,13S713
Aye,S541,13S174
Excused Absence,S541,13S642
Aye,S541,13S384
Aye,S541,13S160
Aye,S541,13S564
Aye,S541,13S565
Aye,S541,13S326
Aye,S541,13S327
No,S541,13S714
Aye,S541,13S850
Aye,S541,13S366
Aye,S541,13S161
Aye,S541,13S165
Aye,S541,13S385
Aye,S541,13S715
Aye,S541,13S310
Aye,S541,13S505
Excused Absence,S541,13S910
Excused Absence,S541,13S911
No,S541,13S20
No,S541,13S21
No,S541,13S22
No,S541,13S23
Aye,S541,13S24
Aye,S541,13S25
Aye,S541,13S29
Aye,S541,13S30
Aye,S541,13S73
Aye,S541,13S76
Aye,S541,13S77
Aye,S541,13S420
Aye,S541,13S298
Aye,S541,13S396
Aye,S541,13S397
Excused Absence,S541,13S776
Excused Absence,S541,13S798
Excused Absence,S541,13S799
Aye,S541,13S735
Excused Absence,S541,13S760
Excused Absence,S541,13S761
Aye,S541,13S49
Excused Absence,S541,13S43
Aye,S541,13S74
Aye,S696,13S297
Aye,S696,13S550
Excused Absence,S696,13S800
Aye,S696,13S193
Aye,S696,13S200
Aye,S696,13S201
Aye,S696,13S480
Aye,S696,13S307
Aye,S696,13S308
Aye,S696,13S551
Aye,S696,13S121
Aye,S696,13S203
Aye,S696,13S552
Aye,S696,13S252
Aye,S696,13S846
Aye,S696,13S870
Aye,S696,13S324
Aye,S696,13S344
No,S696,13S765
Aye,S696,13S875
Aye,S696,13S908
Aye,S696,13S253
Aye,S696,13S265
Aye,S696,13S892
Aye,S696,13S224
Aye,S696,13S621
Aye,S696,13S513
Aye,S696,13S514
Aye,S696,13S515
Aye,S696,13S766
Aye,S696,13S903
Aye,S696,13S266
Aye,S696,13S381
Aye,S696,13S813
Aye,S696,13S364
Aye,S696,13S365
No,S696,13S194
Aye,S696,13S195
Aye,S696,13S196
Aye,S696,13S159
Aye,S696,13S232
Aye,S549,13S707
Aye,S549,13S559
No,S549,13S560
Aye,S549,13S670
No,S549,13S671
No,S549,13S723
No,S549,13S767
No,S549,13S770
Aye,S549,13S622
Aye,S549,13S421
Aye,S549,13S837
Aye,S549,13S867
Aye,S549,13S733
Aye,S549,13S752
Aye,S549,13S915
Aye,S549,13S2
Aye,S549,13S92
Aye,S549,13S116
Aye,S549,13S600
Aye,S549,13S629
No,S549,13S717
No,S769,13S539
Aye,S769,13S561
No,S769,13S562
Aye,S769,13S834
Aye,S769,13S902
Aye,S769,13S414
Aye,S769,13S707
Aye,S769,13S559
No,S769,13S560
Aye,S769,13S670
No,S769,13S671
Excused Absence,S769,13S723
No,S769,13S767
No,S769,13S770
Aye,S769,13S622
Aye,S769,13S421
Aye,S769,13S837
Excused Absence,S769,13S867
Aye,S769,13S733
Aye,S769,13S752
Aye,S769,13S915
Aye,S769,13S918
Aye,S769,13S2
Aye,S769,13S92
Aye,S769,13S116
Aye,S769,13S600
Aye,S769,13S629
Excused Absence,S769,13S717
Aye,S547,13S532
Excused Absence,S547,13S705
Aye,S547,13S455
Excused Absence,S547,13S706
Aye,S547,13S587
Aye,S547,13S588
Aye,S547,13S574
Aye,S547,13S575
Excused Absence,S547,13S889
Aye,S547,13S917
Aye,S547,13S440
Aye,S547,13S456
Aye,S547,13S743
Aye,S547,13S744
Aye,S547,13S745
Aye,S547,13S746
Aye,S547,13S441
Excused Absence,S547,13S669
Excused Absence,S547,13S722
Aye,S547,13S558
Aye,S547,13S563
Aye,S547,13S624
Aye,S547,13S457
Excused Absence,S547,13S653
Aye,S547,13S458
Aye,S547,13S595
Excused Absence,S547,13S613
Aye,S547,13S855
Aye,S547,13S533
Aye,S547,13S824
Aye,S547,13S825
Aye,S547,13S576
Excused Absence,S547,13S795
Excused Absence,S547,13S796
Aye,S547,13S534
Aye,S547,13S577
Aye,S547,13S535
Excused Absence,S547,13S664
Aye,S547,13S442
Excused Absence,S547,13S665
Aye,S547,13S786
Aye,S547,13S787
No,S547,13S536
Aye,S547,13S537
Aye,S547,13S538
Aye,S552,13S837
Aye,S552,13S867
Aye,S552,13S733
Aye,S552,13S752
Aye,S552,13S915
Aye,S552,13S918
Aye,S552,13S2
No,S552,13S92
Aye,S552,13S116
Aye,S552,13S600
Aye,S552,13S629
No,S552,13S717
Aye,S545,13S794
Aye,S545,13S838
Aye,S545,13S508
Aye,S545,13S451
Aye,S545,13S741
Aye,S545,13S496
Excused Absence,S545,13S815
Aye,S545,13S807
Aye,S545,13S808
Aye,S545,13S809
Aye,S545,13S605
Aye,S545,13S634
Aye,S545,13S667
Aye,S545,13S719
Aye,S545,13S437
Aye,S545,13S570
Aye,S545,13S839
Aye,S545,13S840
Aye,S545,13S869
Aye,S545,13S607
Aye,S545,13S636
Aye,S545,13S506
Aye,S545,13S556
Aye,S545,13S802
Aye,S545,13S606
Aye,S545,13S626
Aye,S545,13S452
Aye,S545,13S497
Aye,S545,13S498
Aye,S541,13S443
Aye,S541,13S444
Aye,S541,13S747
Aye,S541,13S748
Aye,S541,13S483
Aye,S541,13S424
Excused Absence,S541,13S42
Aye,S541,13S75
Aye,S541,13S591
Aye,S541,13S592
Aye,S541,13S566
Aye,S541,13S484
Aye,S541,13S14
Aye,S541,13S31
Aye,S541,13S507
Excused Absence,S541,13S814
Aye,S541,13S876
Excused Absence,S541,13S909
Aye,S541,13S175
Aye,S541,13S54
No,S541,13S66
Aye,S541,13S67
Aye,S541,13S68
Aye,S541,13S425
Aye,S541,13S426
Aye,S541,13S666
Aye,S541,13S886
Aye,S541,13S887
Aye,S541,13S888
Aye,S541,13S893
Aye,S541,13S894
Aye,S541,13S672
Aye,S541,13S673
Aye,S541,13S674
Aye,S541,13S675
Aye,S541,13S676
No,S541,13S677
No,S541,13S678
Excused Absence,S541,13S724
Aye,S541,13S679
Excused Absence,S541,13S906
Aye,S541,13S427
Aye,S541,13S367
Aye,S541,13S516
